Time,NewCases
1,6
2,23
3,25
4,20
5,66
6,47
7,64
8,147
9,225
10,290
11,278
12,414
13,267
14,338
15,"1,237"
16,755
17,"2,797"
18,"3,419"
19,"4,777"
20,"3,528"
21,"5,836"
22,"8,821"
23,"10,934"
24,"10,115"
25,"13,987"
26,"16,916"
27,"17,965"
28,"19,332"
29,"18,251"
30,"22,635"
31,"22,562"
32,"27,043"
33,"26,135"
34,"34,864"
35,"30,683"
36,"26,065"
37,"43,438"
38,"21,597"
39,"31,534"
40,"31,705"
41,"33,251"
42,"33,288"
43,"29,145"
44,"24,156"
45,"26,385"
46,"27,158"
47,"29,164"
48,"29,002"
49,"29,916"
50,"25,995"
51,"29,468"
52,"26,490"
53,"25,858"
54,"37,144"
55,"29,873"
56,"33,161"
57,"29,256"
58,"23,371"
59,"23,901"
60,"25,512"
61,"31,787"
62,"30,369"
63,"29,794"
64,"29,763"
65,"19,138"
66,"22,303"
67,"23,366"
68,"30,861"
69,"25,996"
70,"26,660"
71,"23,792"
72,"18,106"
73,"21,467"
74,"20,869"
75,"27,191"
76,"22,977"
77,"31,967"
78,"13,284"
79,"24,481"
80,"23,405"
81,"22,860"
82,"20,522"
83,"24,268"
84,"26,229"
85,"15,342"
86,"24,958"
87,"16,429"
88,"19,680"
89,"21,304"
90,"18,123"
91,"23,553"
92,"26,177"
93,"14,790"
94,"24,955"
95,"14,676"
96,"20,555"
97,"29,034"
98,"29,214"
99,"17,919"
100,"17,598"
101,"17,376"
102,"20,486"
103,"21,744"
104,"22,317"
105,"25,468"
106,"21,957"
107,"18,577"
